app_id,name,description,image,developers,publishers,price,metacritic,genres,recommendations,release_date
22670,Alien Breed 3: Descent,Experience the final explosive chapter in the Alien Breed series and uncover the horrifying truth surrounding the existence of the Breed. Launch discount good thru Nov. 24 10am PST.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/22670/header.jpg?t=1668769192,['Team17 Digital Ltd'],['Team17 Digital Ltd'],999,64,['Action'],340,"time.struct_time(tm_year=2010, tm_mon=11, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=321, tm_isdst=-1)"
231330,Deadfall Adventures,"Deadfall Adventures is an action-driven first-person shooter, spiced up with elements from action-adventure games. Become an adventurer, hunt for treasures, explore unknown regions of the world and rescue the damsel in distress from the clutches of enemies, both earthly and not-so-earthly.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231330/header.jpg?t=1561964976,['The Farm 51'],['THQ Nordic'],1999,53,"['Action', 'Adventure']",1232,"time.struct_time(tm_year=2013, tm_mon=11, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=319, tm_isdst=-1)"
897820,Reigns: Game of Thrones,Reigns: Game of Thrones is the heir to the award-winning HBO® TV series Game of Thrones® and the smash-hit swipe ‘em up series Reigns from Nerial and Devolver Digital.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/897820/header.jpg?t=1728946888,['Nerial'],"['Devolver Digital', 'Big Fan Games']",399,84,"['Adventure', 'Indie', 'RPG']",895,"time.struct_time(tm_year=2018, tm_mon=10, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=291, tm_isdst=-1)"
457140,Oxygen Not Included,"Oxygen Not Included is a space-colony simulation game. Deep inside an alien space rock your industrious crew will need to master science, overcome strange new lifeforms, and harness incredible space tech to survive, and possibly, thrive.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/457140/header.jpg?t=1734644284,['Klei Entertainment'],['Klei Entertainment'],2299,85,"['Indie', 'Simulation']",116148,"time.struct_time(tm_year=2019, tm_mon=7, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=211, tm_isdst=-1)"
1345820,Ragnarock,"Lead your viking ship to victory in this rhythm game (PC and VR)! Pound your drums to the sound of epic music, from celtic rock to viking power metal, and set sail against your rivals in multiplayer mode. Will you outrace them all and carve your name on top of the leaderboard?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1345820/header_alt_assets_9.jpg?t=1734520801,['WanadevStudio'],['WanadevStudio'],2199,87,"['Action', 'Casual', 'Indie']",2556,"time.struct_time(tm_year=2021, tm_mon=7, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=196, tm_isdst=-1)"
7940,Call of Duty® 4: Modern Warfare® (2007),"The new action-thriller from the award-winning team at Infinity Ward, the creators of the Call of Duty® series, delivers the most intense and cinematic action experience ever. Call of Duty 4: Modern Warfare arms gamers with an arsenal of advanced and powerful modern day firepower and transports them to the most treacherous hotspots...",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7940/header.jpg?t=1731698665,['Infinity Ward'],['Activision'],1999,92,['Action'],19555,"time.struct_time(tm_year=2007, tm_mon=11, tm_mday=12, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=316, tm_isdst=-1)"
761910,Worbital,"With the shifting gravity on your side, aim your cannons, blast your enemies and enjoy the fireworks. Worbital is a real-time strategic artillery game in space, peppered with a heavy dose of cosmic chaos. The goal: be the last civilization standing!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/761910/header.jpg?t=1617111303,['Team Jolly Roger'],"['Team Jolly Roger', 'Advanced Interactive Gaming']",1299,76,"['Action', 'Indie', 'Strategy']",383,"time.struct_time(tm_year=2019, tm_mon=1, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=31, tm_isdst=-1)"
975470,Silver Chains,Silver Chains is a first-person horror game with a strong emphasis on story and exploration. Search for clues within an old abandoned manor to unravel the truth about the terrible events which have happened.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/975470/header.jpg?t=1717679927,['Cracked Heads Games'],['Headup'],2499,51,"['Adventure', 'Indie']",791,"time.struct_time(tm_year=2019, tm_mon=8, tm_mday=6, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=218, tm_isdst=-1)"
748490,The Legend of Heroes: Trails of Cold Steel II,"Civil war has broken out across Erebonia. After his narrow escape from Trista, Rean will take up his sword again on a journey with his Divine Knight, Valimar, in search of his friends from Class VII and a way to end the conflict before its price becomes far too dear...",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/748490/header.jpg?t=1732061866,['Nihon Falcom'],"['XSEED Games', 'Marvelous USA, Inc.']",4999,81,['RPG'],2391,"time.struct_time(tm_year=2018, tm_mon=2, tm_mday=14, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=45, tm_isdst=-1)"
351910,Valhalla Hills,Lead your people. Survive the wilderness. Fight for honor. Reclaim your eternal reward. A brand new strategy game from the developers of Cultures and The Settlers II.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/351910/header.jpg?t=1716976125,['Funatics Software'],['Daedalic Entertainment'],1299,69,"['Indie', 'Simulation', 'Strategy']",657,"time.struct_time(tm_year=2015, tm_mon=12, tm_mday=2, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=336, tm_isdst=-1)"
1089830,Monster Energy Supercross - The Official Videogame 3,"New ground and in-air physics, new rider models and new animations will create a more immersive experience and enable you to enjoy the Supercross world at its best!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1089830/header.jpg?t=1728478013,['Milestone S.r.l.'],['Milestone S.r.l.'],2499,72,"['Racing', 'Simulation', 'Sports']",933,"time.struct_time(tm_year=2020, tm_mon=2, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=35, tm_isdst=-1)"
809890,Shining Resonance Refrain,"Play as Yuma Ilvern and stop the Empire from exploiting the power of the ancient dragons, including the soul of the Shining Dragon within you. With the help of your friends, realize your destiny, save Astoria, and unleash the strength you’ve always had locked away.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/809890/header.jpg?t=1721827529,['SEGA'],['SEGA'],2999,68,"['Adventure', 'RPG']",853,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=190, tm_isdst=-1)"
553260,Realpolitiks,"Become the leader of any contemporary country in this streamlined real-time grand strategy game. Use diplomacy, espionage, military and economic power to deal with other nations, while tackling issues such as terrorism, financial crises and medical epidemics, all in an effort to achieve global domination!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/553260/header.jpg?t=1726486964,['Jujubee S.A.'],['Fulqrum Publishing'],1499,52,['Strategy'],865,"time.struct_time(tm_year=2017, tm_mon=2, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=47, tm_isdst=-1)"
286750,Zoo Empire,"It's a zoo out there, and you're in charge! Go wild with your imagination running the most exotic, fun and exciting zoo ever.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/286750/header.jpg?t=1681167479,['Enlight Software Limited'],"['Retroism', 'Enlight Software Limited']",699,59,"['Casual', 'Simulation', 'Strategy']",129,"time.struct_time(tm_year=2015, tm_mon=9, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=246, tm_isdst=-1)"
237430,Expeditions: Conquistador,"Conquer the New world: In the 16th Century, Spanish explorers and soldiers reached the shores of America. The search for gold, fame, and adventure drove these travelers into a treacherous wilderness where they faced hunger, disease, and dangerous predators. In their wake, the Aztec Empires lay in ruins.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/237430/header.jpg?t=1660136640,['Logic Artists'],['THQ Nordic'],1999,77,"['Indie', 'RPG', 'Strategy']",1144,"time.struct_time(tm_year=2013, tm_mon=5, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=150, tm_isdst=-1)"
